id,k,np
p581,0.05,125
p582,0.05,126
p583,0.05,127
p584,0.05,128
p585,0.05,129
p586,0.05,130
p587,0.05,131
p588,0.05,132
p589,0.05,133
p590,0.05,134
p591,0.05,135
p592,0.05,136
p593,0.05,137
p594,0.05,138
p595,0.05,139
p596,0.05,140
p597,0.05,141
p598,0.05,142
p599,0.05,143
p600,0.05,144
p601,0.05,145
p602,0.05,146
p603,0.05,147
p604,0.05,148
p605,0.05,149
p606,0.05,150
p607,0.05,151
p608,0.05,152
p609,0.05,153
p610,0.05,154
p611,0.05,155
p612,0.05,156
p613,0.05,157
p614,0.05,158
p615,0.05,159
p616,0.05,160
p617,0.05,161
p618,0.05,162
p619,0.05,163
p620,0.05,164
p621,0.05,165
p622,0.05,166
p623,0.05,167
p624,0.05,168
p625,0.05,169
p626,0.05,170
p627,0.05,171
p628,0.05,172
p629,0.05,173
p630,0.05,174
p631,0.05,175
p632,0.05,176
p633,0.05,177
p634,0.05,178
p635,0.05,179
p636,0.05,180
p637,0.05,181
p638,0.05,182
p639,0.05,183
p640,0.05,184
p641,0.05,185
p642,0.05,186
p643,0.05,187
p644,0.05,188
p645,0.05,189
p646,0.05,190
p647,0.05,191
p648,0.05,192
p649,0.05,193
p650,0.05,194
p651,0.05,195
p652,0.05,196
p653,0.05,197
p654,0.05,198
p655,0.05,199
p656,0.05,200
p657,0.05,201
p658,0.05,202
p659,0.05,203
p660,0.05,204
p661,0.05,205
p662,0.05,206
p663,0.05,207
p664,0.05,208
p665,0.05,209
p666,0.05,210
p667,0.05,211
p668,0.05,212
p669,0.05,213
p670,0.05,214
p671,0.05,215
p672,0.05,216
p673,0.05,217
p674,0.05,218
p675,0.05,219
p676,0.05,220
p677,0.05,221
p678,0.05,222
p679,0.05,223
p680,0.05,224
p681,0.05,225
p682,0.05,226
p683,0.05,227
p684,0.05,228
p685,0.05,229
p686,0.05,230
p687,0.07500000000000001,2
p688,0.07500000000000001,3
p689,0.07500000000000001,4
p690,0.07500000000000001,5
p691,0.07500000000000001,6
p692,0.07500000000000001,7
p693,0.07500000000000001,8
p694,0.07500000000000001,9
p695,0.07500000000000001,10
p696,0.07500000000000001,11
p697,0.07500000000000001,12
p698,0.07500000000000001,13
p699,0.07500000000000001,14
p700,0.07500000000000001,15
p701,0.07500000000000001,16
p702,0.07500000000000001,17
p703,0.07500000000000001,18
p704,0.07500000000000001,19
p705,0.07500000000000001,20
p706,0.07500000000000001,21
p707,0.07500000000000001,22
p708,0.07500000000000001,23
p709,0.07500000000000001,24
p710,0.07500000000000001,25
p711,0.07500000000000001,26
p712,0.07500000000000001,27
p713,0.07500000000000001,28
p714,0.07500000000000001,29
p715,0.07500000000000001,30
p716,0.07500000000000001,31
p717,0.07500000000000001,32
p718,0.07500000000000001,33
p719,0.07500000000000001,34
p720,0.07500000000000001,35
p721,0.07500000000000001,36
p722,0.07500000000000001,37
p723,0.07500000000000001,38
p724,0.07500000000000001,39
p725,0.07500000000000001,40
p726,0.07500000000000001,41
p727,0.07500000000000001,42
p728,0.07500000000000001,43
p729,0.07500000000000001,44
p730,0.07500000000000001,45
p731,0.07500000000000001,46
p732,0.07500000000000001,47
p733,0.07500000000000001,48
p734,0.07500000000000001,49
p735,0.07500000000000001,50
p736,0.07500000000000001,51
p737,0.07500000000000001,52
p738,0.07500000000000001,53
p739,0.07500000000000001,54
p740,0.07500000000000001,55
p741,0.07500000000000001,56
p742,0.07500000000000001,57
p743,0.07500000000000001,58
p744,0.07500000000000001,59
p745,0.07500000000000001,60
p746,0.07500000000000001,61
p747,0.07500000000000001,62
p748,0.07500000000000001,63
p749,0.07500000000000001,64
p750,0.07500000000000001,65
p751,0.07500000000000001,66
p752,0.07500000000000001,67
p753,0.07500000000000001,68
p754,0.07500000000000001,69
p755,0.07500000000000001,70
p756,0.07500000000000001,71
p757,0.07500000000000001,72
p758,0.07500000000000001,73
p759,0.07500000000000001,74
p760,0.07500000000000001,75
p761,0.07500000000000001,76
p762,0.07500000000000001,77
p763,0.07500000000000001,78
p764,0.07500000000000001,79
p765,0.07500000000000001,80
p766,0.07500000000000001,81
p767,0.07500000000000001,82
p768,0.07500000000000001,83
p769,0.07500000000000001,84
p770,0.07500000000000001,85
p771,0.07500000000000001,86
p772,0.07500000000000001,87
p773,0.07500000000000001,88
p774,0.07500000000000001,89
p775,0.07500000000000001,90
p776,0.07500000000000001,91
p777,0.07500000000000001,92
p778,0.07500000000000001,93
p779,0.07500000000000001,94
p780,0.07500000000000001,95
p781,0.07500000000000001,96
p782,0.07500000000000001,97
p783,0.07500000000000001,98
p784,0.07500000000000001,99
p785,0.07500000000000001,100
p786,0.07500000000000001,101
p787,0.07500000000000001,102
p788,0.07500000000000001,103
p789,0.07500000000000001,104
p790,0.07500000000000001,105
p791,0.07500000000000001,106
p792,0.07500000000000001,107
p793,0.07500000000000001,108
p794,0.07500000000000001,109
p795,0.07500000000000001,110
p796,0.07500000000000001,111
p797,0.07500000000000001,112
p798,0.07500000000000001,113
p799,0.07500000000000001,114
p800,0.07500000000000001,115
p801,0.07500000000000001,116
p802,0.07500000000000001,117
p803,0.07500000000000001,118
p804,0.07500000000000001,119
p805,0.07500000000000001,120
p806,0.07500000000000001,121
p807,0.07500000000000001,122
p808,0.07500000000000001,123
p809,0.07500000000000001,124
p810,0.07500000000000001,125
p811,0.07500000000000001,126
p812,0.07500000000000001,127
p813,0.07500000000000001,128
p814,0.07500000000000001,129
p815,0.07500000000000001,130
p816,0.07500000000000001,131
p817,0.07500000000000001,132
p818,0.07500000000000001,133
p819,0.07500000000000001,134
p820,0.07500000000000001,135
p821,0.07500000000000001,136
p822,0.07500000000000001,137
p823,0.07500000000000001,138
p824,0.07500000000000001,139
p825,0.07500000000000001,140
p826,0.07500000000000001,141
p827,0.07500000000000001,142
p828,0.07500000000000001,143
p829,0.07500000000000001,144
p830,0.07500000000000001,145
p831,0.07500000000000001,146
p832,0.07500000000000001,147
p833,0.07500000000000001,148
p834,0.07500000000000001,149
p835,0.07500000000000001,150
p836,0.07500000000000001,151
p837,0.07500000000000001,152
p838,0.07500000000000001,153
p839,0.07500000000000001,154
p840,0.07500000000000001,155
p841,0.07500000000000001,156
p842,0.07500000000000001,157
p843,0.07500000000000001,158
p844,0.07500000000000001,159
p845,0.07500000000000001,160
p846,0.07500000000000001,161
p847,0.07500000000000001,162
p848,0.07500000000000001,163
p849,0.07500000000000001,164
p850,0.07500000000000001,165
p851,0.07500000000000001,166
p852,0.07500000000000001,167
p853,0.07500000000000001,168
p854,0.07500000000000001,169
p855,0.07500000000000001,170
p856,0.07500000000000001,171
p857,0.07500000000000001,172
p858,0.07500000000000001,173
p859,0.07500000000000001,174
p860,0.07500000000000001,175
p861,0.07500000000000001,176
p862,0.07500000000000001,177
p863,0.07500000000000001,178
p864,0.07500000000000001,179
p865,0.07500000000000001,180
p866,0.07500000000000001,181
p867,0.07500000000000001,182
p868,0.07500000000000001,183
p869,0.07500000000000001,184
p870,0.07500000000000001,185
p871,0.07500000000000001,186
p872,0.07500000000000001,187
p873,0.07500000000000001,188
p874,0.07500000000000001,189
p875,0.07500000000000001,190
p876,0.07500000000000001,191
p877,0.07500000000000001,192
p878,0.07500000000000001,193
p879,0.07500000000000001,194
p880,0.07500000000000001,195
p881,0.07500000000000001,196
p882,0.07500000000000001,197
p883,0.07500000000000001,198
p884,0.07500000000000001,199
p885,0.07500000000000001,200
