id,k,np
p484,0.03,99
p485,0.03,100
p486,0.03,101
p487,0.03,102
p488,0.03,103
p489,0.03,104
p490,0.03,105
p491,0.03,106
p492,0.03,107
p493,0.03,108
p494,0.03,109
p495,0.03,110
p496,0.03,111
p497,0.03,112
p498,0.03,113
p499,0.03,114
p500,0.03,115
p501,0.03,116
p502,0.03,117
p503,0.03,118
p504,0.03,119
p505,0.03,120
p506,0.03,121
p507,0.03,122
p508,0.03,123
p509,0.03,124
p510,0.03,125
p511,0.03,126
p512,0.03,127
p513,0.03,128
p514,0.03,129
p515,0.03,130
p516,0.04,2
p517,0.04,3
p518,0.04,4
p519,0.04,5
p520,0.04,6
p521,0.04,7
p522,0.04,8
p523,0.04,9
p524,0.04,10
p525,0.04,11
p526,0.04,12
p527,0.04,13
p528,0.04,14
p529,0.04,15
p530,0.04,16
p531,0.04,17
p532,0.04,18
p533,0.04,19
p534,0.04,20
p535,0.04,21
p536,0.04,22
p537,0.04,23
p538,0.04,24
p539,0.04,25
p540,0.04,26
p541,0.04,27
p542,0.04,28
p543,0.04,29
p544,0.04,30
p545,0.04,31
p546,0.04,32
p547,0.04,33
p548,0.04,34
p549,0.04,35
p550,0.04,36
p551,0.04,37
p552,0.04,38
p553,0.04,39
p554,0.04,40
p555,0.04,41
p556,0.04,42
p557,0.04,43
p558,0.04,44
p559,0.04,45
p560,0.04,46
p561,0.04,47
p562,0.04,48
p563,0.04,49
p564,0.04,50
p565,0.04,51
p566,0.04,52
p567,0.04,53
p568,0.04,54
p569,0.04,55
p570,0.04,56
p571,0.04,57
p572,0.04,58
p573,0.04,59
p574,0.04,60
p575,0.04,61
p576,0.04,62
p577,0.04,63
p578,0.04,64
p579,0.04,65
p580,0.04,66
p581,0.04,67
p582,0.04,68
p583,0.04,69
p584,0.04,70
p585,0.04,71
p586,0.04,72
p587,0.04,73
p588,0.04,74
p589,0.04,75
p590,0.04,76
p591,0.04,77
p592,0.04,78
p593,0.04,79
p594,0.04,80
p595,0.04,81
p596,0.04,82
p597,0.04,83
p598,0.04,84
p599,0.04,85
p600,0.04,86
p601,0.04,87
p602,0.04,88
p603,0.04,89
p604,0.04,90
p605,0.04,91
p606,0.04,92
p607,0.04,93
p608,0.04,94
p609,0.04,95
p610,0.04,96
p611,0.04,97
p612,0.04,98
p613,0.04,99
p614,0.04,100
p615,0.04,101
p616,0.04,102
p617,0.04,103
p618,0.04,104
p619,0.04,105
p620,0.04,106
p621,0.04,107
p622,0.04,108
p623,0.04,109
p624,0.04,110
p625,0.04,111
p626,0.04,112
p627,0.04,113
p628,0.04,114
p629,0.04,115
p630,0.04,116
p631,0.04,117
p632,0.04,118
p633,0.04,119
p634,0.04,120
p635,0.04,121
p636,0.04,122
p637,0.04,123
p638,0.04,124
p639,0.04,125
p640,0.04,126
p641,0.04,127
p642,0.04,128
p643,0.04,129
p644,0.04,130
p645,0.05,2
p646,0.05,3
p647,0.05,4
p648,0.05,5
p649,0.05,6
p650,0.05,7
p651,0.05,8
p652,0.05,9
p653,0.05,10
p654,0.05,11
p655,0.05,12
p656,0.05,13
p657,0.05,14
p658,0.05,15
p659,0.05,16
p660,0.05,17
p661,0.05,18
p662,0.05,19
p663,0.05,20
p664,0.05,21
p665,0.05,22
p666,0.05,23
p667,0.05,24
p668,0.05,25
p669,0.05,26
p670,0.05,27
p671,0.05,28
p672,0.05,29
p673,0.05,30
p674,0.05,31
p675,0.05,32
p676,0.05,33
p677,0.05,34
p678,0.05,35
p679,0.05,36
p680,0.05,37
p681,0.05,38
p682,0.05,39
p683,0.05,40
p684,0.05,41
p685,0.05,42
p686,0.05,43
p687,0.05,44
p688,0.05,45
p689,0.05,46
p690,0.05,47
p691,0.05,48
p692,0.05,49
p693,0.05,50
p694,0.05,51
p695,0.05,52
p696,0.05,53
p697,0.05,54
p698,0.05,55
p699,0.05,56
p700,0.05,57
p701,0.05,58
p702,0.05,59
p703,0.05,60
